@relation grp
@attribute cus1 numeric
@attribute cus2 numeric
@attribute cus3 numeric
@attribute cus4 numeric
@attribute cus5 numeric
@attribute cus6 numeric
@attribute cus7 numeric
@attribute cus8 numeric
@attribute cus9 numeric
@attribute cus10 numeric
@attribute cus11 numeric
@attribute cus12 numeric
@attribute cus13 numeric
@attribute cus14 numeric
@attribute cus15 numeric
@attribute cus16 numeric
@attribute cus17 numeric
@attribute cus18 numeric
@attribute cus19 numeric
@attribute cus20 numeric
@attribute crps numeric
@attribute wv45 numeric
@data
0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0.01262185680982,1.30604036479677
1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0.0187131582165748,2.93309313696473
0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0.0373257253710663,1.05319474902225
0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0.0493360609293806,2.30521707505483
1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0.0168955400487189,2.16058529783885
0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0.0677253911559777,1.00162470390356
1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0.0460776503397034,2.22019020390722
1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0.0195407306930214,2.17963953652366
1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0.0182511172840216,1.94538356365701
1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0.0609395804499048,1.73706818314066
0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0.0424024051424099,2.08943435077742
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0250234934444757,0.93402527686134
0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0.0189932384441415,2.66009634713311
1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0.0195501376743396,1.48840749923085
0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0.0213731294661682,2.72125647823023
1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0.0513792288829608,2.51781678413733
0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0.0390893489891987,3.16676332963349
1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0.0367101260685867,3.16574249135757
0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0.0242711560906115,2.63902739382179
0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0.0360128721611599,2.4630435784775
1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0.0610175615478401,2.21066670308298
1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0.0247909091537638,2.570173538177
0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0.0184082794992353,1.82015393620494
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0.0351758253112948,3.68475285151069
1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0.0435767067367431,1.82897515005013
1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0.0314258535090811,3.44719228624608
0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0.0132971125236756,2.10677444508744
0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0.0209696043555897,2.1054511155375
1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0.0260413552668417,3.01175676428502
1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0.0260576375374956,2.7677001749461
1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0.0376428665951417,3.0302436699786
1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0.0391936226656485,2.78555283356551
0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0.0564856686935324,1.8079006487641
1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0.0175555266617809,2.17741458221006
0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0.0249846389549499,3.29619827132479
1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0.0350406072565672,2.42643930070347
1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0.0300375990954483,2.71680714069333
0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0.0377650063555253,3.22905231073002
0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0.0274674167892544,2.97487789370342
0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0.0414193771466805,3.28860761336692
1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0.0167658478472519,3.53768176864156
1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0.0373884064033947,3.46363699611755
1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0.0378794725637484,3.16547298051665
